中文名称,英文名称,参数名,推荐值,检测值,检测结果
电脑浏览器,Computer Browser,Browser,Disabled/NotInstalled,,
蓝牙音频网关服务,Bluetooth Audio Gateway Service,BTAGService,Disabled,,
蓝牙支持服务,Bluetooth Support Service,bthserv,Disabled,,
Microsoft FTP服务,Microsoft FTP Service,FTPSVC,Disabled/NotInstalled,,
互联网连接共享,Internet Connection Sharing (ICS),SharedAccess,Disabled,,
Windows Mobile热点服务,Windows Mobile Hotspot Service,icssvc,Disabled,,
IIS管理员服务,IIS Admin Service,IISADMIN,Disabled/NotInstalled,,
Microsoft Store安装服务,Microsoft Store Install Service,InstallService,Disabled,,
红外监控服务,Infrared monitor service,irmon,Disabled/NotInstalled,,
服务器,Server,LanmanServer,Disabled,,
地理位置服务,Geolocation Service,lfsvc,Disabled,,
链接层拓扑发现映射器,Link-Layer Topology Discovery Mapper,lltdsvc,Disabled,,
Lxss管理器,LxssManager,LxssManager,Disabled/NotInstalled,,
下载的地图管理器,Downloaded Maps Manager,MapsBroker,Disabled,,
Microsoft iSCSI发起程序服务,Microsoft iSCSI Initiator Service,MSiSCSI,Disabled,,
对等网络身份管理器,Peer Networking Identity Manager,p2pimsvc,Disabled,,
对等网络分组,Peer Networking Grouping,p2psvc,Disabled,,
PNRP计算机名发布服务,PNRP Machine Name Publication Service,PNRPAutoReg,Disabled,,
对等名称解析协议,Peer Name Resolution Protocol,PNRPsvc,Disabled,,
Windows PushToInstall服务,Windows PushToInstall Service,PushToInstall,Disabled,,
远程访问自动连接管理器,Remote Access Auto Connection Manager,RasAuto,Disabled,,
路由和远程访问,Routing and Remote Access,RemoteAccess,Disabled,,
远程注册表,Remote Registry,RemoteRegistry,Disabled,,
远程过程调用（RPC）定位器,Remote Procedure Call (RPC) Locator,RpcLocator,Disabled,,
远程桌面配置,Remote Desktop Configuration,SessionEnv,Disabled,,
简单 TCP/IP 服务,Simple TCP/IP Services,simptcp,Disabled/NotInstalled,,
SNMP服务,SNMP Service,SNMP,Disabled/NotInstalled,,
SSDP发现,SSDP Discovery,SSDPSRV,Disabled,,
OpenSSH SSH服务器,OpenSSH SSH Server,sshd,Disabled/NotInstalled,,
远程桌面服务,Remote Desktop Services,TermService,Disabled,,
远程桌面服务用户模式端口重定向程序,Remote Desktop Services UserMode Port Redirector,UmRdpService,Disabled,,
UPnP设备主机,UPnP Device Host,upnphost,Disabled,,
万维网出版服务,World Wide Web Publishing Service,W3SVC,Disabled/NotInstalled,,
Windows事件收集器,Windows Event Collector,Wecsvc,Disabled,,
问题报告和解决方案控制面板支持,Problem Reports and Solutions Control Panel Support,wercplsupport,Disabled,,
Windows 错误报告服务,Windows Error Reporting Service,WerSvc,Disabled,,
Windows远程管理(WS-Management),Windows Remote Management (WS-Management),WinRM,Disabled,,
Windows媒体播放器网络共享服务,Windows Media Player Network Sharing Service,WMPNetworkSvc,Disabled/NotInstalled,,
Web账户管理器,Web Management Service,WMSvc,Disabled/NotInstalled,,
Windows推送通知系统服务,Windows Push Notifications System Service,WpnService,Disabled,,
Xbox Live身份验证管理器,Xbox Live Auth Manager,XblAuthManager,Disabled,,
Xbox Live游戏保存,Xbox Live Game Save,XblGameSave,Disabled,,
Xbox访问管理服务,Xbox Accessory Management Service,XboxGipSvc,Disabled,,
Xbox Live网络服务,Xbox Live Networking Service,XboxNetApiSvc,Disabled,,
